objectid,district,shape_st_area,shape_st_length,created_user,created_date,last_edited_user,last_edited_date,population,district_cpd,placename,type,total23,2024,2015,2016,2017,2018,total19,total20,total21,total22,2025,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
7216,1,55350782.02761763,84698.1217344513,GIS,1667323453000,GIS,1667323453000,1000,MPD1,Unknown,Property,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
7216,1,55350782.02761763,84698.1217344513,GIS,1667323453000,GIS,1667323453000,1000,MPD1,Unknown,Violent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
7217,121,153498558.5423196,145652.9093462839,GIS,1667323453000,GIS,1667323453000,18000,CPDN,"Carpenter Village, Preston and Green Hope HS",Other/Unknown,139,247,159,173,188,126,147,96,165,161,38,242,422,140.7,9.5,64.6,50.3,72,816.7,533.3,916.7,894.4,1344.4,781.7
7217,121,153498558.5423196,145652.9093462839,GIS,1667323453000,GIS,1667323453000,18000,CPDN,"Carpenter Village, Preston and Green Hope HS",Property,109,150,110,78,113,78,66,91,129,131,27,150,351,117,98.5,127.3,14.5,28,366.7,505.6,716.7,727.8,833.3,650
7217,121,153498558.5423196,145652.9093462839,GIS,1667323453000,GIS,1667323453000,18000,CPDN,"Carpenter Village, Preston and Green Hope HS",Violent,7,10,7,2,4,3,4,5,8,6,0,7,19,6.3,50,75,16.7,11,22.2,27.8,44.4,33.3,38.9,35
7218,120,70684922.56457101,38277.52157557604,GIS,1667323453000,GIS,1667323453000,7000,CPDS,"Cary Towne Center, Cary Village Square and Chatham Square",Other/Unknown,315,264,386,358,418,370,381,301,240,186,54,263,727,242.3,-51.2,-31,41.4,9,5442.9,4300,3428.6,2657.1,3757.1,3461.4
7218,120,70684922.56457101,38277.52157557604,GIS,1667323453000,GIS,1667323453000,7000,CPDS,"Cary Towne Center, Cary Village Square and Chatham Square",Property,139,112,303,260,222,238,199,105,100,89,26,107,294,98,-55.3,-46.2,20.2,9,2842.9,1500,1428.6,1271.4,1528.6,1400
7218,120,70684922.56457101,38277.52157557604,GIS,1667323453000,GIS,1667323453000,7000,CPDS,"Cary Towne Center, Cary Village Square and Chatham Square",Violent,26,12,24,35,31,23,31,15,20,24,4,16,59,19.7,-22.6,-48.4,-33.3,-19,442.9,214.3,285.7,342.9,228.6,281.4
7219,118,126501895.88297781,96958.1343753846,GIS,1667323453000,GIS,1667323453000,11000,CPDS,"Southeast Cary, Walnut Plaza and Crossroads",Other/Unknown,340,452,288,330,311,336,330,302,297,261,87,477,860,286.7,-20.9,44.5,82.8,66,3000,2745.5,2700,2372.7,4336.4,2606.4
7219,118,126501895.88297781,96958.1343753846,GIS,1667323453000,GIS,1667323453000,11000,CPDS,"Southeast Cary, Walnut Plaza and Crossroads",Property,389,544,291,248,215,225,231,249,248,211,82,529,708,236,-8.7,129,150.7,124,2100,2263.6,2254.5,1918.2,4809.1,2145.5
7219,118,126501895.88297781,96958.1343753846,GIS,1667323453000,GIS,1667323453000,11000,CPDS,"Southeast Cary, Walnut Plaza and Crossroads",Violent,22,15,17,33,20,19,25,23,21,17,1,11,61,20.3,-32,-56,-35.3,-46,227.3,209.1,190.9,154.5,100,184.5
7222,119,136936956.09491783,150601.04170642185,GIS,1667323453000,GIS,1667323453000,19000,CPDN,"Carolina Preserve, Cary Park and Panther Creek HS",Other/Unknown,161,223,125,172,180,181,174,141,186,169,24,206,496,165.3,-2.9,18.4,21.9,25,915.8,742.1,978.9,889.5,1084.2,870
7222,119,136936956.09491783,150601.04170642185,GIS,1667323453000,GIS,1667323453000,19000,CPDN,"Carolina Preserve, Cary Park and Panther Creek HS",Property,215,257,122,103,191,124,193,209,189,137,22,232,535,178.3,-29,20.2,69.3,30,1015.8,1100,994.7,721.1,1221.1,938.4
7222,119,136936956.09491783,150601.04170642185,GIS,1667323453000,GIS,1667323453000,19000,CPDN,"Carolina Preserve, Cary Park and Panther Creek HS",Violent,14,8,6,13,13,11,16,9,14,18,0,5,41,13.7,12.5,-68.8,-72.2,-64,84.2,47.4,73.7,94.7,26.3,72.1
7223,115,138318320.2306666,58744.41968620181,GIS,1667323453000,GIS,1667323453000,14000,CPDS,"Central Cary, Ashley Village, Scottish Hills and MacGregor Downs",Other/Unknown,236,322,282,236,279,272,269,227,262,198,52,332,687,229,-26.4,23.4,67.7,45,1921.4,1621.4,1871.4,1414.3,2371.4,1635.7
7223,115,138318320.2306666,58744.41968620181,GIS,1667323453000,GIS,1667323453000,14000,CPDS,"Central Cary, Ashley Village, Scottish Hills and MacGregor Downs",Property,102,110,136,99,112,105,97,93,120,94,17,110,307,102.3,-3.1,13.4,17,8,692.9,664.3,857.1,671.4,785.7,730.7
7223,115,138318320.2306666,58744.41968620181,GIS,1667323453000,GIS,1667323453000,14000,CPDS,"Central Cary, Ashley Village, Scottish Hills and MacGregor Downs",Violent,14,9,26,19,17,12,10,16,19,18,1,8,53,17.7,80,-20,-55.6,-55,71.4,114.3,135.7,128.6,57.1,126.4
7225,113,61641277.27073684,89545.54325973522,GIS,1667323453000,GIS,1667323453000,8000,CPDN,"Central Cary, Town Hall Campus and Harrison Pointe Shopping Center",Other/Unknown,290,255,255,254,293,235,245,247,218,226,51,244,691,230.3,-7.8,-0.4,8,6,3062.5,3087.5,2725,2825,3050,2878.8
7225,113,61641277.27073684,89545.54325973522,GIS,1667323453000,GIS,1667323453000,8000,CPDN,"Central Cary, Town Hall Campus and Harrison Pointe Shopping Center",Property,160,84,80,107,76,104,82,113,105,97,12,74,315,105,18.3,-9.8,-23.7,-30,1025,1412.5,1312.5,1212.5,925,1312.5
7225,113,61641277.27073684,89545.54325973522,GIS,1667323453000,GIS,1667323453000,8000,CPDN,"Central Cary, Town Hall Campus and Harrison Pointe Shopping Center",Violent,17,9,19,15,18,18,13,17,19,15,3,7,51,17,15.4,-46.2,-53.3,-59,162.5,212.5,237.5,187.5,87.5,212.5
7227,116,220165713.03288692,265668.4216562956,GIS,1667323453000,GIS,1667323453000,15000,CPDS,"Regency Park, Waverly Place, MacGregor Park and Crescent Commons",Other/Unknown,272,367,234,267,268,257,265,255,249,192,50,341,696,232,-27.5,28.7,77.6,47,1766.7,1700,1660,1280,2273.3,1546.7
7227,116,220165713.03288692,265668.4216562956,GIS,1667323453000,GIS,1667323453000,15000,CPDS,"Regency Park, Waverly Place, MacGregor Park and Crescent Commons",Property,193,257,181,175,189,223,211,203,203,156,47,247,562,187.3,-26.1,17.1,58.3,32,1406.7,1353.3,1353.3,1040,1646.7,1248.7
7227,116,220165713.03288692,265668.4216562956,GIS,1667323453000,GIS,1667323453000,15000,CPDS,"Regency Park, Waverly Place, MacGregor Park and Crescent Commons",Violent,13,3,14,17,21,17,23,15,23,17,0,3,55,18.3,-26.1,-87,-82.4,-84,153.3,100,153.3,113.3,20,122
7229,112,71840612.62404658,46671.97848203181,GIS,1667323453000,GIS,1667323453000,8000,CPDS,"Southeast Cary, South Hills Shopping Center and Aurella",Other/Unknown,267,339,324,287,295,358,300,281,287,240,68,347,808,269.3,-20,15.7,44.6,29,3750,3512.5,3587.5,3000,4337.5,3366.2
7229,112,71840612.62404658,46671.97848203181,GIS,1667323453000,GIS,1667323453000,8000,CPDS,"Southeast Cary, South Hills Shopping Center and Aurella",Property,102,115,133,110,104,82,105,143,142,94,19,108,379,126.3,-10.5,2.9,14.9,-14,1312.5,1787.5,1775,1175,1350,1578.8
7229,112,71840612.62404658,46671.97848203181,GIS,1667323453000,GIS,1667323453000,8000,CPDS,"Southeast Cary, South Hills Shopping Center and Aurella",Violent,18,10,14,22,24,22,25,23,28,22,2,10,73,24.3,-12,-60,-54.5,-59,312.5,287.5,350,275,125,303.8
7232,114,90277126.29940057,53902.22708201789,GIS,1667323453000,GIS,1667323453000,12000,CPDN,"Maynard Loop, Maynard Crossing and Weatherfield Industrial Park",Other/Unknown,215,192,303,339,309,250,240,183,208,194,44,208,585,195,-19.2,-13.3,7.2,7,2000,1525,1733.3,1616.7,1733.3,1625
7232,114,90277126.29940057,53902.22708201789,GIS,1667323453000,GIS,1667323453000,12000,CPDN,"Maynard Loop, Maynard Crossing and Weatherfield Industrial Park",Property,131,82,149,127,141,88,90,117,136,95,14,84,348,116,5.6,-6.7,-11.6,-28,750,975,1133.3,791.7,700,966.7
7232,114,90277126.29940057,53902.22708201789,GIS,1667323453000,GIS,1667323453000,12000,CPDN,"Maynard Loop, Maynard Crossing and Weatherfield Industrial Park",Violent,14,10,34,33,20,39,16,12,8,23,1,9,43,14.3,43.8,-43.8,-60.9,-37,133.3,100,66.7,191.7,75,119.2
